65,"Maker","$667,014,190","$740.16","901,311","$22,033,050","-0.61 %",2023-06-23 21:00:42.7399
66,"Bitcoin SV","$665,153,313","$34.56","19,266,077","$215,420,370","24.84 %",2023-06-23 21:00:42.7399
67,"Axie Infinity","$664,113,328","$5.75","115,661,359","$86,086,461","5.90 %",2023-06-23 21:00:42.7399
68,"NEO","$657,276,961","$9.33","70,530,000","$68,196,742","8.05 %",2023-06-23 21:00:42.7399
69,"KuCoin","$656,083,718","$6.78","96,833,502","$1,840,569","0.61 %",2023-06-23 21:00:42.7399
71,"Synthetix Network","$634,098,647","$1.98","319,528,338","$17,730,053","2.77 %",2023-06-23 21:00:42.7399
73,"Curve DAO","$600,186,860","$0.70","854,765,141","$32,568,712","4.48 %",2023-06-23 21:00:42.7399
74,"Gate","$596,545,870","$4.29","139,018,905","$936,840","2.25 %",2023-06-23 21:00:42.7399
76,"Flow","$571,774,384","$0.55","1,036,200,000","$21,246,245","4.10 %",2023-06-23 21:00:42.7399
78,"Kava","$549,773,300","$0.93","587,960,912","$16,581,094","4.23 %",2023-06-23 21:00:42.7399
79,"Klaytn","$544,500,758","$0.17","3,132,781,564","$11,449,070","3.96 %",2023-06-23 21:00:42.7399
81,"Terra Luna Classic","$542,951,602","$0.00","5,824,182,359,976","$57,900,430","1.72 %",2023-06-23 21:00:42.7399
83,"IOTA","$499,651,050","$0.18","2,779,530,283","$7,671,541","5.25 %",2023-06-23 21:00:42.7399
84,"cETH","$492,546,051","$38.17","12,904,362","$7","0.70 %",2023-06-23 21:00:42.7399
85,"PAX Gold","$485,561,840","$1,907.30","254,608","$7,791,889","-0.06 %",2023-06-23 21:00:42.7399
86,"eCash","$484,388,823","$0.00","19,422,979,673,293","$23,230,014","12.00 %",2023-06-23 21:00:42.7399
89,"Tether Gold","$473,849,380","$1,922.23","246,524","$6,113,131","0.41 %",2023-06-23 21:00:42.7399
91,"XDC Network","$457,270,159","$0.03","13,844,978,454","$2,020,578","-1.45 %",2023-06-23 21:00:42.7399
93,"Mina Protocol","$446,000,309","$0.48","922,107,273","$12,736,359","-0.53 %",2023-06-23 21:00:42.7399
95,"Huobi","$433,142,581","$2.67","162,336,522","$10,330,734","0.26 %",2023-06-23 21:00:42.7399
98,"Chiliz","$418,142,574","$0.08","5,344,064,580","$29,391,904","5.49 %",2023-06-23 21:00:42.7399
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2023-06-23 21:00:42.7399
99,"Dash","$399,892,263","$35.27","11,334,589","$57,681,316","6.13 %",2023-06-23 21:00:42.7399
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2023-06-23 21:00:42.7399
1173,"Perth Mint Gold Token","$2,065,882","$1,786.56","1,157","$12,755","-0.03 %",2023-06-23 21:00:42.7399
1508,"Digix Gold Token","$1,169,772","$45.22","25,792","$0","-1.00 %",2023-06-23 21:00:42.7399
5920,"AurusGOLD","$0","$58.85","0","$41,716","-0.09 %",2023-06-23 21:00:42.7399
1,"Bitcoin","$599,782,598,300","$30,891.00","19,410,137","$16,592,765,880","2.82 %",2023-06-23 21:36:17.551287
2,"Ethereum","$228,849,905,631","$1,903.58","120,196,489","$9,273,397,010","0.99 %",2023-06-23 21:36:17.551287
3,"Tether","$83,237,633,951","$1.00","83,197,018,343","$27,626,573,421","0.09 %",2023-06-23 21:36:17.551287
4,"BNB","$38,385,302,788","$246.24","155,855,196","$669,108,523","1.42 %",2023-06-23 21:36:17.551287
5,"USD Coin","$28,453,683,947","$1.00","28,448,400,232","$5,914,969,005","0.05 %",2023-06-23 21:36:17.551287
6,"XRP","$26,028,300,986","$0.50","52,098,630,775","$854,026,506","0.76 %",2023-06-23 21:36:17.551287
8,"Cardano","$10,479,276,435","$0.30","35,045,020,830","$198,113,920","2.23 %",2023-06-23 21:36:17.551287
9,"Dogecoin","$9,589,395,431","$0.07","139,890,346,384","$370,816,034","3.73 %",2023-06-23 21:36:17.551287
10,"Solana","$6,929,293,978","$17.33","399,658,610","$349,577,072","3.41 %",2023-06-23 21:36:17.551287
11,"Litecoin","$6,738,028,936","$92.09","73,210,983","$699,224,005","7.36 %",2023-06-23 21:36:17.551287
12,"TRON","$6,601,706,332","$0.07","89,990,141,899","$280,840,758","2.32 %",2023-06-23 21:36:17.551287
13,"Polkadot","$6,367,497,048","$5.11","1,246,247,905","$143,492,636","5.51 %",2023-06-23 21:36:17.551287
14,"Polygon","$6,357,675,422","$0.68","9,289,469,069","$267,634,135","3.34 %",2023-06-23 21:36:17.551287
15,"Wrapped Bitcoin","$4,841,882,298","$30,833.00","157,027","$226,472,846","2.58 %",2023-06-23 21:36:17.551287
16,"Shiba Inu","$4,769,983,992","$0.00","589,339,774,499,530","$164,626,656","1.83 %",2023-06-23 21:36:17.551287
17,"Avalanche","$4,640,462,429","$13.45","345,050,418","$162,030,177","5.75 %",2023-06-23 21:36:17.551287
18,"Dai","$4,441,186,859","$1.00","4,442,690,205","$171,781,791","0.09 %",2023-06-23 21:36:17.551287
19,"Binance USD","$4,250,361,070","$1.00","4,244,604,738","$2,068,066,539","0.15 %",2023-06-23 21:36:17.551287
20,"Uniswap","$3,682,704,510","$4.89","753,766,667","$34,047,038","2.69 %",2023-06-23 21:36:17.551287
21,"Bitcoin Cash","$3,542,676,617","$182.43","19,428,600","$1,060,893,276","34.84 %",2023-06-23 21:36:17.551287
22,"LEO Token","$3,504,339,589","$3.76","930,002,035","$991,246","0.77 %",2023-06-23 21:36:17.551287
23,"Chainlink","$3,160,532,835","$6.11","517,099,972","$242,578,078","9.47 %",2023-06-23 21:36:17.551287
24,"TrueUSD","$3,139,699,418","$1.00","3,140,888,018","$361,027,722","-0.01 %",2023-06-23 21:36:17.551287
